galaxy,cluster,sftype,agntype,right_ascension,declination,distance,redshift,modified_redshift,itot_151,itot_610,itot_1400,itot_4860,itot_18000,m_hi,cos_va,itot_24mic,itot_70mic,itot_100mic,itot_160mic,itot_250mic,itot_350mic,itot_450mic,itot_500mic,itot_850mic,itot_1200mic,K_mag,RQQ_IR_class,SD_flag,dlog_L
36390046,0,0,2,3.53595,-2.69786,2049.412,0.549857,0.549041497,-1.4644,-1.9133,-2.1774,-2.5718,-2.9931,0,0.6404,-4.75683,-4.7904,-4.44243,-4.19195,-4.24561,-4.44539,-4.65766,-4.76812,-5.40143,-5.878,16.1385,0,0,0
36390409,0,0,2,-0.98501,-0.65674,2050.378,0.550161,0.548447562,-1.5566,-2.01,-2.2791,-2.6818,-3.107,0,0.6587,-4.92755,-4.9613,-4.61336,-4.36274,-4.4163,-4.61593,-4.82818,-4.93858,-5.57184,-6.04842,16.5655,0,0,0
36390575,0,0,2,3.1458,0.16349,2048.287,0.549503,0.549109529,-1.061,-1.5153,-1.7853,-2.1898,-2.6158,0,0.0663,-4.87369,-4.90705,-4.55905,-4.30874,-4.36251,-4.56247,-4.77476,-4.88529,-5.51867,-5.99522,16.4304,0,0,0
36390578,0,0,2,3.299,0.15423,2046.284,0.548873,0.548793892,-1.4956,-1.949,-2.2181,-2.6209,-3.0461,0,0.2224,-4.84722,-4.88022,-4.53218,-4.28216,-4.33613,-4.5364,-4.74873,-4.85938,-5.49289,-5.9694,16.3638,0,0,0
36390606,0,0,2,-2.69581,0.27226,2048.331,0.549517,0.550074827,-0.9781,-0.9136,-0.9366,-1.0973,-1.4424,0,0.9977,-4.44752,-4.48089,-4.1329,-3.88258,-3.93634,-4.1363,-4.34858,-4.45911,-5.09249,-5.56904,15.365,0,0,0
36390702,1571,0,2,2.89696,0.69093,2042.498,0.544756,0.544836732,-0.5985,-1.0532,-1.3238,-1.7292,-2.1555,0,0.1546,-4.6553,-4.68588,-4.33782,-4.08946,-4.14474,-4.34708,-4.55967,-4.67114,-5.30549,-5.78177,15.8813,0,0,0
36390707,0,0,2,3.88934,0.63155,2050.324,0.550144,0.550843152,-2.1907,-2.6434,-2.9117,-3.3132,-3.7379,0,0.7331,-4.80308,-4.83682,-4.48887,-4.23826,-4.29183,-4.49147,-4.70372,-4.81412,-5.44738,-5.92397,16.2543,0,0,0
36390857,91,0,2,1.50029,1.30674,2046.803,0.549691,0.549254513,-2.2411,-2.6888,-2.9517,-3.344,-3.7642,0,0.0897,-5.16264,-5.19611,-4.84813,-4.59773,-4.65144,-4.8513,-5.06358,-5.17407,-5.80742,-6.28398,17.1529,0,0,0
36391018,0,0,2,-3.74252,2.55318,2055.713,0.551841,0.553193339,-1.2304,-1.664,-1.9125,-2.2818,-2.692,0,0.9751,-4.51898,-4.55373,-4.20591,-3.95451,-4.00754,-4.20635,-4.41849,-4.52857,-5.1615,-5.63818,15.5453,0,0,0
36391073,0,0,2,-0.89197,2.73353,2050.868,0.550315,0.550333316,-1.3079,-1.7615,-2.0308,-2.4338,-2.8592,0,0.4518,-4.6854,-4.71925,-4.37132,-4.12062,-4.17413,-4.37369,-4.58593,-4.6963,-5.32952,-5.80612,15.9603,0,0,0
36391281,0,0,2,-1.56328,3.98711,2051.703,0.550578,0.550801646,-2.2078,-2.6583,-2.9243,-3.3216,-3.7443,0,0.5628,-4.90108,-4.9351,-4.58719,-4.33638,-4.38981,-4.58923,-4.80145,-4.91178,-5.54495,-6.02156,16.4997,0,0,0
36393173,0,0,2,-0.58732,-4.45159,2060.811,0.553448,0.551766965,-1.3608,-1.8108,-2.0763,-2.473,-2.8954,0,0.7864,-4.72744,-4.76309,-4.41541,-4.16326,-4.21579,-4.41381,-4.62586,-4.73564,-5.36825,-5.84502,16.0674,0,0,0
36393528,0,0,2,1.80268,-2.62023,2059.503,0.553036,0.552201947,-2.1517,-2.6064,-2.8768,-3.2819,-3.7081,0,0.257,-4.30201,-4.33743,-3.98971,-3.73775,-3.79041,-3.98863,-4.2007,-4.31056,-4.94325,-5.42,15.0036,0,0,0
36393564,0,0,2,3.41022,-2.42074,2057.437,0.552385,0.552063503,-0.0706,-0.5248,-0.7948,-1.1991,-1.6251,0,0.5481,-4.11468,-4.14975,-3.80198,-3.55032,-3.60318,-3.80172,-4.01383,-4.12381,-4.75663,-5.23334,14.5349,0,0,0
36393794,0,0,2,4.61792,-1.25361,2060.323,0.553295,0.553096999,-1.8865,-2.339,-2.6072,-3.0084,-3.433,0,0.3715,-4.84751,-4.88308,-4.53538,-4.2833,-4.33588,-4.53398,-4.74604,-4.85584,-5.48848,-5.96525,16.3675,0,0,0
36393867,0,0,2,-3.09904,-0.9213,2053.983,0.551296,0.5512659,-2.1607,-2.6153,-2.8858,-3.2911,-3.7175,0,0.1211,-4.70415,-4.73867,-4.39082,-4.13967,-4.19287,-4.39194,-4.60412,-4.71431,-5.34734,-5.82399,16.0081,0,0,0
36393915,0,0,2,0.97894,-0.66668,2050.475,0.550191,0.550305116,-0.203,-0.6402,-0.8922,-1.267,-1.6796,0,0.8329,-4.56246,-4.59623,-4.24829,-3.99765,-4.05121,-4.25082,-4.46307,-4.57347,-5.20672,-5.6833,15.6528,0,0,0
